ozndvorana,oznzgrada,kapacitet,brojstolova,brojstolica,imaklimu,imaprirodnusvjetlost,imauticnice,dvoranasopremom,imaracunalo,imahdmikabel,imamikrofon
A101,A,60,31,,,t,,t,,,f
A102,A,60,31,,,t,,t,,,f
A104,A,30,16,,,t,,,,,f
A105,A,24,13,,,t,,,,,f
A109,A,40,21,,,t,,,,,f
A110,A,40,21,,,t,,,,,f
A111,A,60,31,,,t,,,,,f
A201,A,60,31,,,t,,,,,f
A202,A,60,31,,,t,,,,,f
A204,A,30,16,,,t,,,,,f
A205,A,30,16,,,t,,,,,f
A209,A,50,26,,,t,,,,,f
A210,A,60,31,,,t,,,,,f
A211,A,60,31,,,t,,f,f,t,f
A301,A,16,9,,t,t,t,,t,f,f
A302,A,16,9,,,t,t,,t,f,f
A309,A,16,9,,,t,,t,,,f
A310,A,16,9,,,t,,t,,,f
A311,A,16,9,,,t,,,,,f
A312,A,16,9,,,t,,,,,f
B1,B,100,,,,f,,,,,t
B2,B,50,,,,f,,,,,t
B3,B,50,,,,f,,,,,t
B4,B,100,,,,f,,,,,t
B5,B,40,,,,f,,,,,t
C603,C,36,,,,,,,,,
D033,D,35,,,,,,,,,
D1,D,100,,,,f,,,,,t
D152,D,50,,,,t,,,,,
D153,D,25,,,,t,,,,,
D158,D,25,,,,t,,,,,
D159,D,20,,,,t,,,,,
D160,D,60,,,,t,,,,,
D2,D,100,,,,f,,,,,t
D251,D,20,,,,t,,,,,
D258,D,20,,,,t,,,,,
D259,D,18,,,,t,,,,,
D260,D,64,,,,t,,,,,
D262,D,24,,,,t,,,,,
D263,D,16,,,,t,,,,,
D269,D,24,,,,t,,,,,
D270,D,24,,,,t,,,,,
D272,D,64,,,,t,,,,,
D273,D,60,,,,t,,,,,
D346,D,55,,,,t,,,,,
D347,D,25,,,,t,,,,,
Siva vijećnica,D,100,,,,t,,,,,t
Bijela vijećnica,D,20,,,,t,,,,,f
Crna vijećnica,D,50,,,,t,,,,,f
